"studio_name","avg_ranking"
VCI Entertainment,100.00
Marshall Curry Productions,100.00
PRC Pictures Inc.,100.00
Universal International Pictur,100.00
Realart Pictures Inc.,100.00
Critics' Choice Video,100.00
Foremco,100.00
Screencraft Pictures,100.00
Image Entertainment Inc.,100.00
Franco London Films,100.00
BBC,100.00
American Playhouse,100.00
Zweites Deutsches Fernsehen,100.00
First National Pictures Inc.,100.00
MK2 Productions,100.00
Cohen Media,100.00
Edward Small Productions,100.00
